author,work,word count
demosthenes,against_apatourius,2591
demosthenes,against_aphobus_1,4641
demosthenes,against_aphobus_2,1537
demosthenes,against_aphobus_3,3966
demosthenes,against_aristocrates,15623
demosthenes,against_aristogiton_1,6824
demosthenes,against_aristogiton_2,1713
demosthenes,against_boeotus_1,2787
demosthenes,against_boeotus_2,3976
demosthenes,against_callicles,2152
demosthenes,against_callippus,2155
demosthenes,against_conon,3232
demosthenes,against_dionysodorus,3357
demosthenes,against_eubulides,4697
demosthenes,against_evergus_and_mnesibulus,5474
demosthenes,against_lacritus,3702
demosthenes,against_leochares,4285
demosthenes,against_leptines,11533
demosthenes,against_macartatus,6367
demosthenes,against_midias,15968
demosthenes,against_nausimachus_and_xenopeithes,1881
demosthenes,against_neaera,9338
demosthenes,against_nicostratus,2043
demosthenes,against_olympiodorus,3580
demosthenes,against_onetor_30,2397
demosthenes,against_onetor_31,965
demosthenes,against_pantaenetus,3842
demosthenes,against_phaenippus,2270
demosthenes,against_phormio,3316
demosthenes,against_polycles,4685
demosthenes,against_spudias,1994
demosthenes,against_stephanus_1,5789
demosthenes,against_stephanus_2,1875
demosthenes,against_theocrines,4761
demosthenes,against_timocrates,14872
demosthenes,against_timotheus,4432
demosthenes,against_zenothemis,1944
demosthenes,erotic_essay,3718
demosthenes,exordia,9798
demosthenes,for_phormio,4021
demosthenes,for_the_megalopitans,1889
demosthenes,funeral_speech,2583
demosthenes,letters,6287
demosthenes,olynthiac_1,1863
demosthenes,olynthiac_2,2076
demosthenes,olynthiac_3,2394
demosthenes,on_organization,2356
demosthenes,on_the_accession_of_alexander,1820
demosthenes,on_the_chersonese,4313
demosthenes,on_the_crown,22737
demosthenes,on_the_false_embassy,23432
demosthenes,on_the_halonnesus,2488
demosthenes,on_the_liberty_of_the_rhodians,2245
demosthenes,on_the_navy,2633
demosthenes,on_the_peace,1483
demosthenes,on_the_trierarchic_crown,1367
demosthenes,philip,1437
demosthenes,philippic_1,3339
demosthenes,philippic_2,2032
demosthenes,philippic_3,4383
demosthenes,philippic_4,4525
demosthenes,reply_to_philip,1313
dinarchus,against_aristogiton,1814
dinarchus,against_demosthenes,7604
dinarchus,against_philocles,1394
dionysius_halicarnassensis,ad_ammaeum,3464
dionysius_halicarnassensis,antiquitates_romanae,301376
dionysius_halicarnassensis,de_antiquis_oratoribus,898
dionysius_halicarnassensis,de_compositione_verborum,20933
dionysius_halicarnassensis,de_demosthene,22137
dionysius_halicarnassensis,de_dinarcho,4258
dionysius_halicarnassensis,de_isaeo,5417
dionysius_halicarnassensis,de_isocrate,6464
dionysius_halicarnassensis,de_lysia,7863
dionysius_halicarnassensis,de_thucydide,17033
dionysius_halicarnassensis,de_thucydidis_idiomatibus,2697
dionysius_halicarnassensis,epistula_ad_pompeium,4555
dionysius_halicarnassensis,libri_secundi_de_antiquis_oratoribus_reliquiae,177
dracontius,de_laudibus_dei,22053
dracontius,orestes,8104
dracontius,romulea,20070
dracontius,satisfactio,2613
ennius,annales,5085
ennodius,opera,14678
epictetus,discourses,75005
epictetus,enchiridion,5148
epictetus,fragments,4034
euclid,elements,153965
euripides,alcestis,8987
euripides,andromache,9954
euripides,bacchae,10461
euripides,cyclops,5582
euripides,electra,10456
euripides,hecuba,9861
euripides,helen,13390
euripides,heracleidae,8399
euripides,heracles,10818
euripides,hippolytus,11093
euripides,ion,12663
euripides,iphigenia_aulis,12735
